Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;2M LOCACOES DE STANDES LTDA EPP;Logradouro Local Fiscalizado;CEP;;Município Local Fiscalizado;UF Local Fiscalizado
2008;2008/10;71.896.799/0001-94;2A RECICLAGEM E REMOCAO D LIXO LTDA ME;AL 1O SGTO OSMAR C CLARO,75;02145-050;PARQUE NOVO MUNDO;São Paulo;São Paulo
2009;2009/10;04.171.733/0001-40;2AJ PAINEIS PUBLICITARIOS IND COM SERV LTDA;RUA JASSON MARQUES 34;09371-075;PQ SAO VICENTE;Mauá;São Paulo
2010;2010/07;07.654.902/0004-33;2C COM E IMP DE PRESENTES FINOS LTDA;AV MAGALHAES DE CASTRO 12000;05502-001;BUTANTA;São Paulo;São Paulo
2009;2009/02;45.808.169/0001-00;2C COM E IMPORT DE PRESENTES FINOS LTDA;AV BRIG FARIA LIMA 2232 LJ DD11A PISO 1;01451-000;PINHEIROS;São Paulo;São Paulo
2011;2011/05;07.654.902/0001-90;2C COM E IMPORT DE PRESENTES FINOS LTDA;AV BRIG FARIA LIMA 2232 LJ DD11A PISO 1;01451-000;PINHEIROS;São Paulo;São Paulo
2010;2010/12;10.469.584/0001-00;2C EQUIPAMENTOS E SUPRIMENTOS P/ESCRITORIO LTDA EPP;RUA ANTONIO FURTADO DE MIRANDA, 244;19013-370;VILA INDUSTRIAL;Presidente Prudente;São Paulo
2009;2009/04;08.805.740/0001-07;2EASY SERVICOS DE PROCESSAMENTO DE DADOS LTDA - ME;BELA CINTRA,643;01415-000;BELA VISTA;São Paulo;São Paulo
2008;2008/11;06.937.468/0001-93;2EASY SOLUCOES EM INFORMATICA LTDA.;RUA PEDRO DE TOLEDO, 129;04039-001;VILA CLEMENTINO;São Paulo;São Paulo
2009;2009/07;09.173.309/0001-58;2FF COM. DE MADEIRAS LTDA;RUA MANOEL BECKMAN 66;06230-040;CENTRO;Osasco;São Paulo
2009;2009/04;03.222.879/0001-04;2HM MANUTENCAO INDUSTRIAL E COM LTDA;RUA MAISA,249;13091-630;JDM BOA ESPERANCA;Campinas;São Paulo
2009;2009/12;08.827.154/0003-25;2M COMERCIO DE ALIMENTOS E BEBIDAS LTDA;RUA CORONEL EUCLIDES MACHADO 1023;02713-000;FREG DO O;São Paulo;São Paulo
2010;2010/07;09.561.769/0001-53;2M CONSTR. S/S LTDA  EPP;RUA CHAMANTá, 1227;03126-001;PARQUE DA MOOCA;São Paulo;São Paulo
2009;2009/01;09.561.769/0001-53;2M CONSTR. SS LTDA. EPP;PROF ALCEU MAYNARD DE ARAUJO,650;04726-160;CHAC SANTO ANTONIO;São Paulo;São Paulo
2009;2009/11;09.561.769/0001-53;2M CONSTR. SS LTDA. EPP;RUA JOSé GONçALVES, 180;05727-250;MORUMBI;São Paulo;São Paulo
2012;2012/01;09.561.769/0001-53;2M CONSTRUCOES SS LTDA EPP;AVENIDA JOAO DIAS,1371;04723-001;SANTO AMARO;São Paulo;São Paulo
