Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2008;2008/09;83.646.984/0020-72;A ANGELONI CIA LTDA.;AV. MARINHEIRO MAX SCHRAMM, 3450;88095-000;BALNEARIO ESTREIRO;Florianópolis;Santa Catarina;;
2008;2008/10;83.646.984/0014-24;A ANGELONI CIA LTDA.;RUA ESTEVES JUNIOR, 370;88015-130;CENTRO;Florianópolis;Santa Catarina;;
2008;2008/11;83.646.984/0072-01;A ANGELONI E CIA;RUA MINISTRO CALóGERAS, 1639;89202-005;ANIOTA GARIBALDI;Joinville;Santa Catarina;;
2008;2008/09;83.646.984/0022-34;A ANGELONI E CIA LTDA;AV BARAO DO RIO BRANCO 732;89250-000;CENTRO;Jaraguá do Sul;Santa Catarina;;
2009;2009/05;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV CENTENARIO, 2699;88800-000;CENTRO;Criciúma;Santa Catarina;;
2011;2011/04;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2009;2009/08;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2009;2009/08;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2010;2010/02;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2011;2011/07;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV GOV IRINEU BORNHAUSEN,5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2008;2008/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2008;2008/08;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2009;2009/07;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2008;2008/10;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2008;2008/10;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2010;2010/12;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2010;2010/03;83.646.984/0016-96;A ANGELONI E CIA LTDA;AV IVO SILVEIRA 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina;;
2008;2008/10;83.646.984/0020-72;A ANGELONI E CIA LTDA;AV MARINHEIRO MAX SCHRAMM, 3450;88095-000;JARDIM ATLANTICO;Florianópolis;Santa Catarina;;
2010;2010/04;83.646.984/0077-08;A ANGELONI E CIA LTDA;AV. CENTENARIO, 2999;88801-000;CENTRO;Criciúma;Santa Catarina;;
2009;2009/05;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV. DO CENTENARIO , 2699;88800-000;CENTRO;Criciúma;Santa Catarina;;
2008;2008/09;83.646.984/0001-00;A ANGELONI E CIA LTDA;AV. DO CENTENARIO , 7521, SALA 01;88815-900;N. SRA. DA SALETE;Criciúma;Santa Catarina;;
2008;2008/10;83.646.984/0018-58;A ANGELONI E CIA LTDA;AV. GOV. IRINEU BORNHAUSEN, 5288;88025-202;AGRONôMICA;Florianópolis;Santa Catarina;;
2011;2011/03;83.646.984/0078-99;A ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 3664;88085-000;CAPOEIRAS;Florianópolis;Santa Catarina;;
2012;2012/05;83.646.984/0078-99;A ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 3664;88085-000;CAPOEIRAS;Florianópolis;Santa Catarina;;
2008;2008/09;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina;;
2009;2009/09;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina;;
2008;2008/12;83.646.984/0030-44;A ANGELONI E CIA LTDA;AVENIDA DO ESTADO,2440;88338-063;BAIRRO DAS NACOES;Balneário Camboriú;Santa Catarina;;
2008;2008/09;83.646.984/0009-67;A ANGELONI E CIA LTDA;CENTENARIO,2699;88813-530;CENTRO;Criciúma;Santa Catarina;;
2010;2010/08;83.646.984/0009-67;A ANGELONI E CIA LTDA;CENTENARIO,2699;88804-000;CENTRO;Criciúma;Santa Catarina;;
2009;2009/09;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2010;2010/04;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/12;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2011;2011/11;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2009;2009/09;83.646.984/0014-24;A ANGELONI E CIA LTDA;ESTEVES JUNIOR,307;88015-530;CENTRO;Florianópolis;Santa Catarina;;
2008;2008/09;83.646.984/0008-86;A ANGELONI E CIA LTDA;EXP JOSE P COELHO,1120;88704-200;CENTRO;Tubarão;Santa Catarina;;
2008;2008/09;83.646.984/0002-90;A ANGELONI E CIA LTDA;FELIPE SCHIMIDT,26;88813-530;CENTRO;Criciúma;Santa Catarina;;
2009;2009/10;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina;;
2008;2008/09;83.646.984/0015-05;A ANGELONI E CIA LTDA;FREI ROGERIO,587;88502-161;CENTRO;Lages;Santa Catarina;;
