Ano Término Fiscalização;Mês Término Fiscalização;CNPJ Estabelecimento;Nome Empregador;Logradouro Local Fiscalizado;;;Município Local Fiscalizado;UF Local Fiscalizado;;
2011;2011/05;83.057.059/0001-43;A MARAVILHA LAMINAS E MADEIRA IND E COM LTDA;RODOVIA ADELINO MANDELLI N.º 1400;89500-000;CASTELHANO;Caçador;Santa Catarina;;
2009;2009/04;00.993.058/0001-83;A MENDES TERRAP CONSTR EXTR MIN LTDA;RODOVIA SC 438, KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2012;2012/04;00.993.058/0001-83;A MENDES TERRAPCONSTR EXTR MINERLTDA;RODOVIA SC 438 KM 10,3178;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2009;2009/02;00.993.058/0001-83;A MENDES TERRAPLANAGEM;RODOVIA SC 438, KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2009;2009/12;00.993.058/0001-83;A MENDES TERRAPLANAGEM CONSTR. EXTR. DE MINERAIS LTDA;RODOVIA SC 438;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2010;2010/10;00.993.058/0001-83;A MENDES TERRAPLANAGEM CONSTRUçãO E EXTRAçãO MINERAL LT;ROD. SC 438 KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2009;2009/09;00.993.058/0001-83;A MENDES TERRAPLANAGEM LTDA;RODOVIA 438;88735-000;POSO ALTO;Gravatal;Santa Catarina;;
2010;2010/09;00.993.058/0001-83;A MENDES TERRAPLANAGEM, CONSTRUCAO E EXTRACAO MINER LTD;ROD SC 438, SN KM 10;88735-000;POUSO ALTO;Gravatal;Santa Catarina;;
2009;2009/02;06.916.330/0001-08;A MORADIA TECNOLOGIA ADMIN.E LOCACAO DE IMOVEIS LTDA-ME;RUA MANOEL BARRETO,45,TERREO,SALAS 01 E 02;89012-130;CENTRO;Blumenau;Santa Catarina;;
2009;2009/01;83.941.211/0001-56;A NOVAK ME;EST. GERAL SN;88820-000;DEMBOSKI;Içara;Santa Catarina;;
2009;2009/10;86.434.727/0002-83;A NUNES & CIA LTDA;RODOVIA BR 101, KM 336;88700-000;MORROTES;Tubarão;Santa Catarina;;
2010;2010/06;86.434.727/0002-83;A NUNES & CIA LTDA;RODOVIA BR 101, KM 337;88700-000;MORROTES;Tubarão;Santa Catarina;;
2010;2010/05;86.434.727/0007-98;A NUNES & CIA LTDA;RUA ALTAMIRO GUIMARAES, 1338;88702-100;OFICINAS;Tubarão;Santa Catarina;;
2009;2009/10;86.434.727/0001-00;A NUNES & CIA LTDA;RUA MARECHAL DEODORO, 883;88700-000;CENTRO;Tubarão;Santa Catarina;;
2012;2012/05;86.434.727/0001-00;A NUNES & CIA LTDA;RUA MARECHAL DEODORO, 883;88704-801;MORROTES;Tubarão;Santa Catarina;;
2009;2009/10;86.434.727/0004-45;A NUNES E CIA LTDA;AV PATRICIO LIMA, 406;88700-000;CENTRO;Tubarão;Santa Catarina;;
2009;2009/10;05.858.829/0001-43;A P COM DE BIC PECAS E ACESS LTDA ME;RUA ANTONIO VIEIRA,603;88130-470;JD EUCALIPTUS;Palhoça;Santa Catarina;;
2010;2010/05;09.379.792/0001-21;A PIZZA LTDA ME;RUA BRUNO SILVA 16;88331-065;PIONEIROS;Balneário Camboriú;Santa Catarina;;
2010;2010/11;02.192.678/0001-49;A PONTO S CAFETERIA LTDA EPP MAT;AV  BRASIL, 1271, SUC QL 05;88330-900;CENTRO;Balneário Camboriú;Santa Catarina;;
2010;2010/11;03.624.656/0001-73;A POTOKINHA CONFECÇÕES;ROD ANTONIO HEIL, 635;88352-501;SANTA TEREZINHA;Brusque;Santa Catarina;;
2008;2008/06;02.683.982/0001-99;A R CARMINATTI CIA LTDA ME;ROD SC 447 KM 01,S/N;88860-000;INDUSTRIAL;Siderópolis;Santa Catarina;;
2012;2012/01;09.157.034/0001-69;A R INDUSTRIA DE CALCADOS LTDA ME;WANDER COLIONI,540;88240-000;JARDIM SAO PAUL;São João Batista;Santa Catarina;;
2008;2008/06;00.823.892/0001-20;A R INSTALACOES HIDRAULICAS LTDA ME;ALAMEDA RIO BRANCO;89000-000;CENTRO;Blumenau;Santa Catarina;;
2011;2011/10;09.243.567/0001-63;A R PNEUS LTDA ME;RUA WALDEMAR RANGRAB,4101;89900-000;CENTRO;São Miguel do Oeste;Santa Catarina;;
2009;2009/05;05.230.441/0001-01;A R SERVICOS PERSONALIZADOS LTDA;AVENIDA XV DE NOVEMBRO,530;89600-000;CENTRO;Joaçaba;Santa Catarina;;
2010;2010/03;Sem Informação;A ROLETA CELULARES LTDA;CALCADAO TULIO FIUZA DE CARVALHO 39;88501-007;CENTRO;Lages;Santa Catarina;;
2008;2008/06;08.598.836/0001-41;A S COMERCIO DE MOTOCICLETAS LTDA.;AV. JOSUE DI BERNARDI, 910;88110-000;CAMPINAS;São José;Santa Catarina;;
2010;2010/09;05.763.360/0001-69;A S DA SILVA & CIA. LTDA.;RUA 1822, Nº553 - SL - SALA 2;88330-484;CENTRO;Balneário Camboriú;Santa Catarina;;
2011;2011/01;02.290.779/0001-52;A S MANUTENCAO DE AR CONDIC LTDA EPP;RUA DONA CAROLINA,380;88115-150;SERRARIA;São José;Santa Catarina;;
2012;2012/01;02.290.779/0001-52;A S MANUTENCAO DE AR CONDIC LTDA EPP;RUA DONA CAROLINA,380;88115-150;SERRARIA;São José;Santa Catarina;;
2011;2011/04;02.290.779/0001-52;A S MANUTENCAO DE AR CONDIC LTDA EPP;RUA DONA CAROLINA,380;88115-150;SERRARIA;São José;Santa Catarina;;
2010;2010/09;05.506.390/0003-51;A S TEXTIL LTDA;BR 280 KM 54.8;89270-000;AVAI;Guaramirim;Santa Catarina;;
2011;2011/05;09.195.358/0001-91;A SAVIATO & CIA LTDA;RUA ARNO DAMIANI, - QUADRA 3;88702-375;OFICINAS;Tubarão;Santa Catarina;;
2009;2009/11;73.715.245/0001-79;A SILVA DISTRIBUIDORA LTDA;AV GOV ADOLFO KONDER, 1401;88308-000;SãO VICENTE;Itajaí;Santa Catarina;;
2011;2011/03;02.492.310/0001-04;A SILVA FERRAGENS LTDA;AV CENTENARIO, 3050, SALA 02;88800-000;CENTRO;Criciúma;Santa Catarina;;
2010;2010/06;02.898.329/0001-47;A SILVA MOLDURAS LTDA ME;R SANTA CLARA 3 TRANSVERSAL A DIREITA,62;88113-210;BARREIROS;São José;Santa Catarina;;
2011;2011/11;04.415.023/0001-18;A V P CONSERTOS E REPAROS DE ESTRUT FLUTUANTES LTDA;R. JOSE FRANCISCO LAURINDO , 467;88375-000;DOMINGOS;Navegantes;Santa Catarina;;
2008;2008/09;06.991.515/0001-87;A VERGES COMERCIO DE PRODS ALIMENTICIOS LTDA;ROD RAFAEL ROCHA PIRES, 2544;88015-100;SAMBAQUI;Florianópolis;Santa Catarina;;
2010;2010/02;10.886.084/0001-66;A W C INDUSTRIA CONFECCOES;RUA SAO JOAO BATISTA, 106;88805-365;UNIVERSITARIO;Criciúma;Santa Catarina;;
2009;2009/10;10.886.084/0001-66;A W C INDUSTRIA CONFECCOES;RUA SAO JOAO BATISTA, 123;88805-365;UNIVERSITARIO;Criciúma;Santa Catarina;;
2011;2011/03;83.647.578/0001-61;A ZAPPELINI & IRMAO;PRACA NEREU RAMOS, 68;88801-250;CENTRO;Criciúma;Santa Catarina;;
2010;2010/12;83.647.578/0001-61;A ZAPPELINI IRMAO;PCA DR NEREU RAMOS 68 2 ANDAR;88801-500;CENTRO;Criciúma;Santa Catarina;;
2009;2009/03;02.344.388/0004-16;A&E PRODUCTS DO BRASIL LTDA;RUA HERMANN HERING,1160;89010-600;BOM RETIRO;Blumenau;Santa Catarina;;
2011;2011/03;11.287.589/0001-77;A&P PRESTACAO DE SERVICOS DA CONSTRUCAO CIVIL LTDA ME;OBRA: RUA 3110 ESQUINA RUA 3140;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/02;06.013.557/0001-43;A&V CONSTRUTORA E INCORPORADORA LTDA;RUA DONA FRANCISCA, 9663;89200-000;DISTRITO INDUSTRIAL;Joinville;Santa Catarina;;
2012;2012/01;83.646.984/0073-84;A. ANGELONI & CIA LTDA.;RUA MINISTRO CALóGERAS, 1639, SL 01;89200-000;ANITA GARIBALDI;Joinville;Santa Catarina;;
2009;2009/02;83.646.984/0007-03;A. ANGELONI CIA LTDA;RUA TREZE DE MAIO, Nº 12;88790-000;CENTRO;Laguna;Santa Catarina;;
2010;2010/08;83.646.984/0009-67;A. ANGELONI E CIA LTDA;AV DO CENTENáRIO 2699;88801-000;CENTRO;Criciúma;Santa Catarina;;
2011;2011/03;83.646.984/0001-00;A. ANGELONI E CIA LTDA;AV. DO CENTENARIO, 7521;88815-900;NOSSA SENHORA DA SA;Criciúma;Santa Catarina;;
2012;2012/01;83.646.984/0001-00;A. ANGELONI E CIA LTDA;AV. DO CENTENARIO, 7521;88815-900;NOSSA SENHORA DA SA;Criciúma;Santa Catarina;;
2012;2012/01;83.646.984/0030-44;A. ANGELONI E CIA LTDA;AV. DO ESTADO, 2440;88338-063;BAIRRO DA NACOES;Balneário Camboriú;Santa Catarina;;
2011;2011/11;83.646.984/0027-49;A. ANGELONI E CIA LTDA;AV. GOV IRINEU BORNHAUSEN, 5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2012;2012/03;83.646.984/0018-58;A. ANGELONI E CIA LTDA;AV. GOV. IRINEU BORNHAUSEN, 5288;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2011;2011/11;83.646.984/0024-04;A. ANGELONI E CIA LTDA;AV. IRINEU BORNHAUSEN, 5188;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2012;2012/05;83.646.984/0024-04;A. ANGELONI E CIA LTDA;AV. IRINEU BORNHAUSEN, 5188;88025-202;AGRONOMICA;Florianópolis;Santa Catarina;;
2012;2012/05;83.646.984/0001-00;A. ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2011;2011/06;83.646.984/0038-00;A. ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2012;2012/05;83.646.984/0016-96;A. ANGELONI E CIA LTDA;AV. IVO SILVEIRA, 2445;88085-001;CAPOEIRAS;Florianópolis;Santa Catarina;;
2008;2008/09;83.646.984/0049-54;A. ANGELONI E CIA LTDA;R. DR. JOAO COLIN, 2500;89204-040;AMERICA;Joinville;Santa Catarina;;
2012;2012/05;83.646.984/0069-06;A. ANGELONI E CIA LTDA;RODOVIA BR 101, KM 156,5;88210-000;ALTO PEREQUE;Porto Belo;Santa Catarina;;
2011;2011/06;83.646.984/0042-88;A. ANGELONI E CIA LTDA;RUA NIRBERTO HAASE, 75, SALA 05;88035-215;SANTA MONICA;Florianópolis;Santa Catarina;;
2012;2012/05;83.646.984/0008-86;A. ANGELONI E CIA LTDA;RUA. EXP JOSE P COELHO, 1120;88704-201;CENTRO;Tubarão;Santa Catarina;;
2011;2011/10;83.646.984/0029-00;A. ANGELONI E CIA LTDA;RUA. HUMBERTO CAMPOS, 77;89036-050;VELHA;Blumenau;Santa Catarina;;
2011;2011/05;83.646.984/0061-40;A. ANGELONI E CIA LTDA;RUA.CELENTINO PEDRO DEMORO, 18;88036-002;ESTREITO;Florianópolis;Santa Catarina;;
2011;2011/03;83.646.984/0015-05;A. ANGELONI E CIA LTDA;RUA.FREI ROGERIO, 587;88502-161;CENTRO;Lages;Santa Catarina;;
2011;2011/07;83.646.984/0020-72;A. ANGELONI E CIA LTDA;RUA.MARINHEIRO MAX SCHRAMM, 3450;88095-000;BALNEARIO DO ESTREI;Florianópolis;Santa Catarina;;
2008;2008/08;06.022.317/0001-05;A. D. MOVEIS PARA ESCRITORIO LTDA;RUA JOSE ALVES SANTOS PASSOS, 6103;88700-000;SAO MARTINHO;Tubarão;Santa Catarina;;
2010;2010/06;82.797.333/0001-58;A. GODEL CONTADORES LTDA;AV. PRESIDENTE VARGAS,1501;88509-501;CORAL;Lages;Santa Catarina;;
2009;2009/12;10.830.559/0001-00;A. M DE PAULA EMPREITEIRA DE M.O LTDA;FELIPE CAMARAO;89026-110;VILA NOVA;Blumenau;Santa Catarina;;
2011;2011/04;04.613.613/0001-55;A. M. INDUSTRIA METALURGICA LTDA. ME;RUA HILDEBRANDO PICOLLI LEMES,494;89805-830;LIDER;Chapecó;Santa Catarina;;
2010;2010/02;Sem Informação;A. MENDES TERRAPLANAGEM   CONST.E EXTRAç.DE MINERAIS LT;R. SEBASTIãO PEREIRA DA VEIGA, S/N;89295-000;Sem Informação;Rio Negrinho;Santa Catarina;;
2010;2010/02;Sem Informação;A. MENDES TERRAPLANAGEM CONST. E EXTRAç. DE MINERAIS LT;R. CARLOS GOETHLER, S/N;89290-000;SERRA ALTA;São Bento do Sul;Santa Catarina;;
2010;2010/02;Sem Informação;A. MENDES TERRAPLANAGEM CONSTR. E EXTRAçãO DE MINERAIS;AV. EXPEDICIONáRIOS;SI;Sem Informação;Canoinhas;Santa Catarina;;
2009;2009/12;00.993.058/0001-83;A. MENDES TERRAPLANAGEM LTDA;RODOVIA 438 S/N KM 10;88735-000;POSO ALTO;Gravatal;Santa Catarina;;
2009;2009/09;00.993.058/0001-83;A. MENDES TERRAPLANAGEM LTDA;RODOVIA 438 S/N KM 10;88735-000;POSO ALTO;Gravatal;Santa Catarina;;
2010;2010/05;00.993.058/0001-83;A. MENDES TERRAPLANAGEM, CONSTRUÇÃO E EXTRAÇÃO DE MINER;BR 101-TREVO DE ITAPEMA, S/Nº;88340-000;CENTRO;Camboriú;Santa Catarina;;
2008;2008/09;04.171.881/0001-64;A. P. DA SILVA - ME;RUA GERONIMO MEDEIROS 52;88106-010;FLOR DE NAPOLIS;São José;Santa Catarina;;
2011;2011/05;00.614.121/0004-76;A. P. PERON LTDA - ME;ROD. ANTONIO HEIL,635_SALA 15;88352-502;SANTA TEREZINHA;Brusque;Santa Catarina;;
2011;2011/10;03.226.951/0001-71;A. R. C. SERVIçOS, IND. E COM. DE EQUIP. IND. LTDA;RUA SANTA CATARINA, 2348;89212-000;FLORESTA;Joinville;Santa Catarina;;
2011;2011/08;10.650.942/0001-79;A. S. A. CONSTRUTORA LTDA ME;RUA MÁRIO LACOMBE, 284;88000-000;CANASVIEIRAS;Florianópolis;Santa Catarina;;
2011;2011/08;12.004.181/0001-03;A. S. V. CONFECÇÕES LTDA;R. WILLY SCHROEDER;89182-000;CENTRO;Lontras;Santa Catarina;;
2010;2010/02;09.072.829/0001-74;A. V. MATERIAIS DE CONSTRUCAO LTDA.;RUA GUAPORE - EDIF. MALBEC;89800-000;CENTRO;Chapecó;Santa Catarina;;
2011;2011/06;85.192.250/0001-23;A. W. COM. DE TEC. E CONF. LTDA;RUA CONSELHEIRO MAFRA NR.240;88010-100;CENTRO;Florianópolis;Santa Catarina;;
2010;2010/05;10.817.144/0001-99;A.A.Z. COMéRCIO DE VESTUáRIO LTDA ME;AV. MADRE BENVENUTA, 687, LOJA 314;88035-000;SANTA MONICA;Florianópolis;Santa Catarina;;
2010;2010/07;10.344.171/0001-91;A.AIRES MEIRA E CIA LTDA;RODOVIA BR-116 KM 248;88516-590;SANTA MONICA;Lages;Santa Catarina;;
2011;2011/10;10.344.171/0001-91;A.AIRES MEIRA E CIA LTDA ME;BR 116, KM 248 SALA B;88516-590;SANTA MONICA;Lages;Santa Catarina;;
2011;2011/02;83.646.984/0034-78;A.ANGELONI E CIA LTDA;LOJA 08 - 4ª AVENIDA, ENTRE RUAS 1926 E 2000;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/02;06.211.636/0001-69;A.B.S RESTAURANTE LTDA;RUA THEODORO HOLTRUP, 160;89035-300;VILA NOVA;Blumenau;Santa Catarina;;
2010;2010/10;00.802.353/0001-05;A.C.B ARTEFATOS DE CIMENTO LTDA - ME;RUA GAROPABA, 259;89200-000;NOVA BRASILIA;Joinville;Santa Catarina;;
2008;2008/12;04.632.400/0001-70;A.C.R. SISTEMAS CONTRA INCENDIO LTDA;RUA MINISTRO CALóGERAS, 1639 - OBRA ANGELONI;89202-005;ANITA GARIBALDI;Joinville;Santa Catarina;;
2010;2010/09;04.387.190/0001-00;A.F ELETROMECANICA LTDA ME;RUA SANTOS SARAIVA 1049;88070-101;ESTREITO;Florianópolis;Santa Catarina;;
2010;2010/04;04.387.190/0001-00;A.F ELETROMECANICA LTDA ME;RUA SANTOS SARAIVA 1049;88070-101;ESTREITO;Florianópolis;Santa Catarina;;
2011;2011/06;05.074.409/0001-76;A.G.M. MOLDES E FERRAMENTAS LTDA ME;RUA SERVIDAO GEREON JOHANNES KRUGUER,70;89233-040;FLORESTA;Joinville;Santa Catarina;;
2010;2010/06;05.074.409/0001-76;A.G.M. MOLDES E FERRAMENTAS LTDA ME;RUA SERVIDAO GEREON JOHANNES KRUGUER,70;89233-040;FLORESTA;Joinville;Santa Catarina;;
2011;2011/04;07.606.328/0001-03;A.G.M.L. CONFECCOES LTDA ME;RUA GOV. JORGE LACERDA, 1436;89045-360;VELHA;Blumenau;Santa Catarina;;
2008;2008/09;02.209.060/0001-44;A.G.Z TRANSPORTES LTDA;RUA JOSE THEODORO RIBEIRO, 1865 - SL 01;89258-001;ILHA FIGUEIRA;Jaraguá do Sul;Santa Catarina;;
2010;2010/11;10.832.741/0001-92;A.H.F. CONFECçõES LTDA;RODOVIA IVO SILVEIRA, KM 09-LOJA 78-ALL SHOPPING;88355-202;Sem Informação;Brusque;Santa Catarina;;
2009;2009/10;02.613.389/0001-76;A.J. MAZZOCHI - ME;R VIDAL RAMOS JUNIOR 53;88502-120;CENTRO;Lages;Santa Catarina;;
2011;2011/11;72.220.916/0001-68;A.J.LEITE LTDA ME;RUA DEPUTADO LEOBERTO LEAL,23;88117-000;BARREIROS;São José;Santa Catarina;;
2009;2009/08;01.921.466/0001-92;A.L. MONTAGENS INDUSTRIAIS LTDA ME;ROD. BR 116, KM 218;88535-000;FAZENDA DOS ALVES;Correia Pinto;Santa Catarina;;
2009;2009/06;07.745.008/0001-26;A.L.D IND E COM DE ESTOFADOS LTDA;RUA NARCISO GUEBERT,415;89370-000;SAO CRISTOVAO;Papanduva;Santa Catarina;;
2010;2010/06;07.745.008/0001-26;A.L.D IND E COM DE ESTOFADOS LTDA;RUA NARCISO GUEBERT,415;89370-000;SAO CRISTOVAO;Papanduva;Santa Catarina;;
2008;2008/08;08.985.377/0001-59;A.M. FERRARI CONVENIêNCIA - ME;RUA ALBANO SCHMIDT, 2207;89227-701;BOA VISTA;Joinville;Santa Catarina;;
2009;2009/09;03.871.432/0001-66;A.M. MASTERS LTDA - ME;OBRA-EDIF.MONTPARNASSE RESIDENCE-RUA 3160, Nº 162;88330-284;CENTRO;Balneário Camboriú;Santa Catarina;;
2010;2010/09;75.364.570/0011-31;A.M.C. TEXTIL S/A;RUA AGOSTINHO OLIARE, 85 PREDIO 1;89278-000;CENTRO;Corupá;Santa Catarina;;
2011;2011/03;75.364.570/0011-31;A.M.C. TEXTIL S/A;RUA PEDRO FERREIRA,97;88316-002;Sem Informação;Itajaí;Santa Catarina;;
2012;2012/04;86.434.727/0011-74;A.NUNES E CIA LTDA - INDEPEN;AVENIDA PATRICIO LIMA 406;88704-410;HUMAITA;Tubarão;Santa Catarina;;
2010;2010/10;10.293.255/0001-43;A.P.C.L LAVAGEM AUTOMOTIVA LTDA-ME;AV MADRE BENVENUTA 687, GARAGEM 2 SHOP IGUATEMI;88035-000;SANTA MONICA;Florianópolis;Santa Catarina;;
2008;2008/08;10.293.255/0001-43;A.P.C.L LAVAGEM AUTOMOTIVA LTDA-ME;AV MADRE BENVENUTA 687, GARAGEM 2 SHOP IGUATEMI;88035-000;SANTA MONICA;Florianópolis;Santa Catarina;;
2011;2011/05;10.293.255/0001-43;A.P.C.L LAVAGEM AUTOMOTIVA LTDA-ME;AV MADRE BENVENUTA 687, GARAGEM 2 SHOP IGUATEMI;88035-000;SANTA MONICA;Florianópolis;Santa Catarina;;
2008;2008/08;02.047.679/0001-08;A.R.S. NAVARRO E NAVARRO LTDA;RUA IZILDA SCHMIDT COELHO, 06;88113-800;AREIAS;São José;Santa Catarina;;
2009;2009/04;05.763.360/0001-69;A.S. DA SILVA CIA LTDA EPP;RUA 1822, 553 SALA 02;88330-484;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/01;05.763.360/0001-69;A.S. DA SILVA CIA. LTDA.;RUA 1822, 553;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/02;05.763.360/0001-69;A.S.DA SILVA E CIA LTDA EPP;RUA 1822,553  SALA 2;88330-484;CENTRO;Balneário Camboriú;Santa Catarina;;
2012;2012/02;07.144.043/0001-90;A.S.E RESTAURANTE LTDA ME;AV. NEREU RAMOS, 1399;88385-000;PRAIA ALEGRE;Penha;Santa Catarina;;
2011;2011/03;02.492.310/0002-87;A.SILVA FERRAGENS LTDA 02;ROD LUIZ ROSSO KM 05,3610;88803-470;PRIMEIRA LINHA;Criciúma;Santa Catarina;;
2011;2011/09;08.977.834/0001-63;A+ EMPREITEIRA DE MAO DE OBRA LTDA;AV  QUARTA AVENIDA ESQUINA RUA 2000;88330-000;CENTRO;Balneário Camboriú;Santa Catarina;;
2009;2009/09;08.977.834/0001-63;A+ EMPREITEIRA DE MAO DE OBRA LTDA;AV ROLF WIEST, 30-35;89200-000;BOM RETIRO;Joinville;Santa Catarina;;
2009;2009/11;08.977.834/0001-63;A+ EMPREITEIRA DE MAO DE OBRA LTDA;AV SANTOS DUMONT, 1170 - OBRA MAXXI ATACADO;89200-000;BOM RETIRO;Joinville;Santa Catarina;;
2011;2011/01;08.977.834/0001-63;A+ EMPREITEIRA DE MAO DE OBRA LTDA;OBRA BR 470;89000-000;Sem Informação;Blumenau;Santa Catarina;;
2008;2008/08;03.493.365/0001-93;A2C SERVIçOS DE INTERNET LTDA.;RUA DO PRÍNCIPE, 777-SALA 48;89201-001;CENTRO;Joinville;Santa Catarina;;
2009;2009/02;07.604.199/0001-06;A2T ASSESSORIA EMPRESARIAL LTDA;RODOVIA BR 101, KM 212/213;88133-550;PASSA VINTE;Palhoça;Santa Catarina;;
2011;2011/05;07.646.548/0001-52;A3 COMERCIO DE MOVEIS LTDA ME;RUA 2550,1130;88330-390;CENTRO;Balneário Camboriú;Santa Catarina;;
2011;2011/03;09.144.705/0001-57;A4 DIGITAL PRINT COM E SERV DE INF LTDA;AV CAPITAO ALEXANDRE DE SA, 166;88704-080;DEHON;Tubarão;Santa Catarina;;
2011;2011/06;09.285.968/0001-86;A4 DIGITAL PRINT LTDA EPP;AV DA PEDRA BRANCA,25;88137-270;CIDADE UNIVERSITARI;Palhoça;Santa Catarina;;
2011;2011/02;83.727.552/0001-23;AABREU EMPREENDIMENTOS HOTELEIROS LTDA;AV. LUIZ BOITEUX PIAZZA, 2951;88054-700;CACHOEIRA DO BOM JES;Florianópolis;Santa Catarina;;
2008;2008/09;05.102.155/0002-33;AAC AR CONDICIONADO LTDA;RUA MINISTRO CALÓGERAS, 157;89200-000;CENTRO;Joinville;Santa Catarina;;
2010;2010/12;10.375.757/0001-13;AAG COM PESC SELEC IND E INAT LTDA ME;RUA DOM JOAO BECKER,276;88058-600;INGLESES;Florianópolis;Santa Catarina;;
2009;2009/12;00.892.180/0001-63;AB AUTO ELETRICA;R BLUMENAU_1685;88305-102;BARRA DO RIO;Itajaí;Santa Catarina;;
2011;2011/09;72.225.337/0001-08;AB CARDOSO SUPERMERCADOS LTDA;AV GETULIO VARGAS, 1065;88960-000;NOVA BRASILIA;Sombrio;Santa Catarina;;
2008;2008/07;83.063.024/0001-17;AB COM MANUT DE CONDIC DE AR LTDA.;RUA ANSELMO SANTA CATARINA, 736-D;89806-210;PRESIDENTE MéDICI;Chapecó;Santa Catarina;;
2009;2009/07;79.398.657/0001-09;AB IND E COM DE LINGERIE LTDA ME;AVENIDA REPúBLICA ARGENTINA, AO LADO DO 2103;89010-000;PONTA AGUDA;Blumenau;Santa Catarina;;
2009;2009/11;79.398.657/0001-09;AB IND E COM DE LINGERIE LTDA ME;RUA 2 DE SETEMBRO,1395;89050-520;ITOUPAVA NORTE;Blumenau;Santa Catarina;;
2010;2010/09;76.343.748/0001-59;AB PLAST MANUF. PLASTICOS LTDA;RUA BLUMENAU, 1030;89204-250;AMERICA;Joinville;Santa Catarina;;
2010;2010/01;76.343.748/0001-59;AB PLAST MANUF. PLASTICOS LTDA;RUA BLUMENAU, 1030;89204-250;AMERICA;Joinville;Santa Catarina;;
2011;2011/11;76.343.748/0001-59;AB PLAST MANUF. PLASTICOS LTDA;RUA BLUMENAU, 1030;89204-250;AMERICA;Joinville;Santa Catarina;;
2011;2011/04;76.343.748/0001-59;AB PLAST MANUF. PLASTICOS LTDA;RUA BLUMENAU, 1030;89204-250;AMERICA;Joinville;Santa Catarina;;
2010;2010/02;76.343.748/0001-59;AB PLAST MANUF. PLASTICOS LTDA;RUA BLUMENAU, 1030;89204-250;AMERICA;Joinville;Santa Catarina;;
2012;2012/02;14.775.509/0001-10;AB SCHMIDT COMERCIO DE GENEROS ALIMENTICIOS LTDA ME;AV DAS NACOES, 539, SALA TERREO;88054-010;CANASVIEIRAS;Florianópolis;Santa Catarina;;
2010;2010/10;83.709.972/0001-87;ABAETE CONSTRUCOES E INCORPORACOES LTDA;RUA 14 DE JULHO 50;88000-000;COQUEIROS;Florianópolis;Santa Catarina;;
2010;2010/09;02.331.925/0001-40;ABAST COMBUSTIVEIS SANTA CLARA LTDA;RUA MARCELINO RAMOS,10;89700-000;CENTRO;Concórdia;Santa Catarina;;
2008;2008/09;02.331.925/0001-40;ABAST COMBUSTIVEIS SANTA CLARA LTDA;RUA MARCELINO RAMOS,10;89700-000;CENTRO;Concórdia;Santa Catarina;;
2009;2009/10;95.871.489/0001-83;ABAST DE DERIV DE PETROLEO DE CARLI LTDA;BR 163 KM 56;89950-000;INTERIOR;Dionísio Cerqueira;Santa Catarina;;
2010;2010/04;83.087.338/0001-50;ABASTECEDORA DE COMB SAO CRISTOVAO LTDA;AV XV DE NOVEMBRO,1102;89665-000;CENTRO;Capinzal;Santa Catarina;;
2010;2010/10;83.524.314/0001-10;ABASTECEDORA DE COMBUSTIVEIS MARATONA LTDA;AV ARAUCARIA, 475;89874-000;CENTRO;Maravilha;Santa Catarina;;
2008;2008/09;79.496.808/0001-61;ABASTECEDORA PERIZZOLO LTDA;RUA FERNANDO MACHADO,1294;89814-210;CENTRO;Chapecó;Santa Catarina;;
2010;2010/04;79.496.808/0001-61;ABASTECEDORA PERIZZOLO LTDA;RUA FERNANDO MACHADO,1294__D;89814-210;CENTRO;Chapecó;Santa Catarina;;
2010;2010/12;03.784.673/0001-78;ABASTECEDORA PRAIA DOS AMORES LTDA;AV DO ESTADO, Nº133;88331-490;PRAIA DOS AMORES;Balneário Camboriú;Santa Catarina;;
2008;2008/11;03.784.673/0001-78;ABASTECEDORA PRAIA DOS AMORES LTDA;AV DO ESTADO,133;88331-490;PRAIA DOS AMORES;Balneário Camboriú;Santa Catarina;;
2009;2009/12;03.784.673/0001-78;ABASTECEDORA PRAIA DOS AMORES LTDA.;AV DO ESTADO, Nº 133;88330-000;PRAIA DOS AMORES;Balneário Camboriú;Santa Catarina;;
2009;2009/04;05.343.541/0001-36;ABASTECEDORA VISTA SUL LTDA;ROD. ICR, S/N;88820-000;BOA VISTA;Içara;Santa Catarina;;
2010;2010/08;05.343.541/0001-36;ABASTECEDORA VISTA SUL LTDA;ROD. ICR, S/N;88820-000;BOA VISTA;Içara;Santa Catarina;;
